,Title,Society,Locality,Region,Country,Total Price,Price per Sqft,latitude,longitude,No of Rooms,Residence Type,Seller Name,Description,Site URL
23,1 BHK House for Sale in Sai Anurag Colony Hyderabad,,,Hyderabad,IN,₹3 Cr,"₹16,667 per sqft",17.5273494720459,78.35173797607422,1.0,SingleFamilyResidence,surya,"SemiCommercial PropertyFront side TWO SHOP SHUTTERS, Rear Side Spacious 1BHK with hall, kitchen, bedroom, and attached bathroom Parking Dedicated in-compound car parking Future Scope Foundation designed to support G4 floors construction",https://www.magicbricks.com/propertyDetails/1-BHK-200-Sq-yrd-Residential-House-FOR-Sale-Sai-Anurag-Colony-in-Hyderabad&id=4d423830333634343237
24,"1 BHK House for Sale in Devender Nagar, Mahadevpur Colony Hyderabad",,Devender Nagar,Hyderabad,IN,₹20.7 Lac,"₹3,286 per sqft",17.5265857007803,78.413548771324,1.0,SingleFamilyResidence,krishna,"1 BHK, Residential House is available for Sale in Devender Nagar, Hyderabad for 20.70 Lac(s)",https://www.magicbricks.com/propertyDetails/1-BHK-630-Sq-ft-Residential-House-FOR-Sale-Devender-Nagar-in-Hyderabad&id=4d423637373939313639
25,1 BHK House for Sale in Hakimpet-Hyderabad Hyderabad,,,Hyderabad,IN,₹17.8 Lac,"₹3,296 per sqft",,,1.0,SingleFamilyResidence,Prachi,"1 BHK, Residential House is available for Sale in , Hyderabad for 17.80 Lac(s)",https://www.magicbricks.com/propertyDetails/1-BHK-60-Sq-yrd-Residential-House-FOR-Sale-in-Hyderabad&id=4d423637383033373333
26,"1 BHK Flat for Sale in Miyapur, NH 9, Hyderabad",Nebula Aavaas,Miyapur,Hyderabad,IN,₹40 Lac,"₹6,590 per sqft",17.524121,78.355737,1.0,Apartment,Dinesh,"1 BHK, Multistorey Apartment is available for Sale in Miyapur, Hyderabad for 40.0 Lac(s)",https://www.magicbricks.com/propertyDetails/1-BHK-607-Sq-ft-Multistorey-Apartment-FOR-Sale-Miyapur-in-Hyderabad&id=4d423832323532303837
27,"1 BHK Flat for Sale in Chintal, Hyderabad",,Chintal,Hyderabad,IN,₹29 Lac,"₹4,833 per sqft",17.411462783813477,78.50630187988281,1.0,Apartment,Baltha,"Property DetailsThis property is located in Chintal Hyderabad and is ready to move in. It is part of the Sri Sainivasam project and comes semi-furnished, offering a practical and comfortable living space. The carpet area of the apartment is 550 square feet. The property overlooks a main park, providing pleasant views and a serene environment. Designed for modern living, it includes a spacious living cum dining area that forms the heart of the home.Property SpecificationsThe apartment has one bedroom and one bathroom, ensuring a compact and functional layout. The interiors feature granite flooring and the property is Vastu compliant with a North East orientation, promoting positive energy. The design optimizes space while maintaining a bright and airy atmosphere, making it suitable for individuals or small families seeking a convenient and stylish home.FacilitiesThe property offers essential facilities for comfortable living. These include dedicated parking, reliable water supply, and round-the-clock security with CCTV monitoring. The building also has a lift for easy access to the apartment. The combination of these facilities ensures a safe and hassle-free living environment for all residents.LocalityLocated in Chintal Hyderabad, the property enjoys proximity to parks, schools, hospitals, and shopping centers. The neighborhood is peaceful and well-connected, providing a balanced urban lifestyle. Easy access to public transport and major roads makes commuting convenient while offering a calm and green environment for daily living.",https://www.magicbricks.com/propertyDetails/1-BHK-600-Sq-ft-Multistorey-Apartment-FOR-Sale-Chintal-in-Hyderabad&id=4d423830373135323335
28,1 BHK Apartment for Sale in RTC Colony-Chandanagar Hyderabad,,,Hyderabad,IN,₹24.4 Lac,"₹4,692 per sqft",,,1.0,Apartment,Llama,"1 BHK, Multistorey Apartment is available for Sale in , Hyderabad for 24.40 Lac(s)",https://www.magicbricks.com/propertyDetails/1-BHK-520-Sq-ft-Multistorey-Apartment-FOR-Sale-in-Hyderabad&id=4d423637373939323333
29,1 BHK Apartment for Sale in Haridaspalle Hyderabad,Sindhuvanam,Haridaspalle,Hyderabad,IN,₹20 Lac,"₹5,479 per sqft",17.524837,78.606558,1.0,Apartment,Ram,"1 BHK, Multistorey Apartment is available for Sale in Haridaspalle, Hyderabad for 20.0 Lac(s)",https://www.magicbricks.com/propertyDetails/1-BHK-365-Sq-ft-Multistorey-Apartment-FOR-Sale-Haridaspalle-in-Hyderabad&id=4d423831383336323633
30,1 BHK House for Sale in Chanda Nagar Hyderabad,,,Hyderabad,IN,₹70 Lac,"₹9,333 per sqft",17.495741,78.325436,1.0,SingleFamilyResidence,Prataplip,"1 BHK, Residential House is available for Sale in Chanda Nagar, Hyderabad for 70.0 Lac(s)",https://www.magicbricks.com/propertyDetails/1-BHK-750-Sq-ft-Residential-House-FOR-Sale-Chanda-Nagar-in-Hyderabad&id=4d423730353433353231
31,1 BHK Apartment for Sale in Nagole Hyderabad,Sahabhavana,Nagole,Hyderabad,IN,₹30 Lac,"₹5,505 per sqft",17.3680099,78.5774996,1.0,Apartment,Teja,community with outdoor gym and 8 blocks,https://www.magicbricks.com/propertyDetails/1-BHK-545-Sq-ft-Multistorey-Apartment-FOR-Sale-Nagole-in-Hyderabad&id=4d423832313036363031
32,1 BHK House for Sale in Uppuguda Hyderabad,,,Hyderabad,IN,₹41 Lac,"₹5,489 per sqft",17.3403052973767,78.4862542860113,1.0,SingleFamilyResidence,Its,"1 BHK, Residential House is available for Sale in Uppuguda, Hyderabad for 41.0 Lac(s)",https://www.magicbricks.com/propertyDetails/1-BHK-83-Sq-yrd-Residential-House-FOR-Sale-Uppuguda-in-Hyderabad&id=4d423439303836353533
33,1 BHK Apartment for Sale in Mayur Marg Hyderabad,,Mayur Marg,Hyderabad,IN,₹24.8 Lac,"₹4,706 per sqft",17.4419690702271,78.4617193657139,1.0,Apartment,Mohammed Younus,"1 BHK, Multistorey Apartment is available for Sale in Mayur Marg, Hyderabad for 24.80 Lac(s)",https://www.magicbricks.com/propertyDetails/1-BHK-527-Sq-ft-Multistorey-Apartment-FOR-Sale-Mayur-Marg-in-Hyderabad&id=4d423637373935333837
34,1 BHK House for Sale in Tirumala Nagar-Moula Ali Hyderabad,,,Hyderabad,IN,₹29.6 Lac,"₹3,289 per sqft",,,1.0,SingleFamilyResidence,Nithyadevi Shyam,"1 BHK, Residential House is available for Sale in , Hyderabad for 29.60 Lac(s)",https://www.magicbricks.com/propertyDetails/1-BHK-900-Sq-ft-Residential-House-FOR-Sale-in-Hyderabad&id=4d423637373939363631
35,1 BHK Apartment for Sale in Hyderabad,,,Hyderabad,IN,₹30.5 Lac,"₹4,692 per sqft",,,1.0,Apartment,Sandeep,"1 BHK, Multistorey Apartment is available for Sale in , Hyderabad for 30.50 Lac(s)",https://www.magicbricks.com/propertyDetails/1-BHK-650-Sq-ft-Multistorey-Apartment-FOR-Sale-in-Hyderabad&id=4d423637383034353737
36,1 BHK Apartment for Sale in Hyderabad,,,Hyderabad,IN,₹15 Lac,"₹2,778 per sqft",,,1.0,Apartment,suresh,"This spacious Apartment is on 3rd level of the tower of 3 & measures 540 Sq-ft. Approx 15 Lac is the expected price of the Apartment. With 1 room and 1 well maintained bathrooms, the Apartment is Furnished.",https://www.magicbricks.com/propertyDetails/1-BHK-540-Sq-ft-Multistorey-Apartment-FOR-Sale-in-Hyderabad&id=4d423331363633303533
37,1 BHK Villa for Sale in Bachupally Hyderabad,,Bachupally,Hyderabad,IN,₹2.50 Cr,"₹10,748 per sqft",17.551816,78.3860695,1.0,SingleFamilyResidence,Krishna Kishore,"168 Square yards, East facing, 40 ft road, Woodwork, False Ceiling, Ground floor,,,,,Hall, Kitchen, Dining, Wash area, Bedroom,,,,,1st floor Living area HT, Pooja Room, 2 Bedrooms with 2 washrooms, Balcony ,,,,,Penthouse Single room, 2326 SFT built up area, Amenities,,,,,,Park, Gym, Clubhouse, Shuttle Court, Manjeera water, Water Softener, Security, CCTV etc",https://www.magicbricks.com/propertyDetails/1-BHK-2326-Sq-ft-Villa-FOR-Sale-Bachupally-in-Hyderabad&id=4d423832313835363137
38,1 BHK House for Sale in Golconda Road Hyderabad,,Golconda Road,Hyderabad,IN,₹1.70 Cr,"₹8,586 per sqft",17.37515081,78.44006636,1.0,SingleFamilyResidence,nayeem,This is house loacted on 40 road near to the central bank golconda fort this is beatifully design dubles house.,https://www.magicbricks.com/propertyDetails/1-BHK-220-Sq-yrd-Residential-House-FOR-Sale-Golconda-Road-in-Hyderabad&id=4d423731343938363533
39,1 BHK Apartment for Sale in Pragthi Nagar Hyderabad,,Pragthi Nagar,Hyderabad,IN,₹34 Lac,,17.35984081,78.52526402,1.0,Apartment,Raghushankar,"1 BHK, Multistorey Apartment is available for Sale in Pragthi Nagar, Hyderabad for 34.0 Lac(s)",https://www.magicbricks.com/propertyDetails/1-BHK-667-Sq-ft-Multistorey-Apartment-FOR-Sale-Pragthi-Nagar-in-Hyderabad&id=4d423832393737333031
40,1 BHK House for Sale in Uppuguda Hyderabad,,,Hyderabad,IN,₹39 Lac,"₹5,221 per sqft",17.340322494506836,78.4862289428711,1.0,SingleFamilyResidence,Pavan,"A residential house is available for sale. It has covered area of 747 sq-ft, it is a good location. Please contact for more details.",https://www.magicbricks.com/propertyDetails/1-BHK-747-Sq-ft-Residential-House-FOR-Sale-Uppuguda-in-Hyderabad&id=4d423637353932313135
41,"1 BHK Apartment for Sale in Punjagutta, NH 9 Hyderabad",,Punjagutta,Hyderabad,IN,₹1.12 Cr,"₹9,180 per sqft",17.4261101,78.451451,1.0,Apartment,Vidit,"Flat is fully furnished with one cabin , pantry and visitor area and ac",https://www.magicbricks.com/propertyDetails/1-BHK-1220-Sq-ft-Multistorey-Apartment-FOR-Sale-Punjagutta-in-Hyderabad&id=4d423731383930303039
42,"1 BHK House for Sale in Erragadda, NH 9 Hyderabad",,Erragadda,Hyderabad,IN,₹8.84 Cr,"₹13,598 per sqft",17.4577642399372,78.4291992789702,1.0,SingleFamilyResidence,Sanjay,A residential house is available for sale. It is a good location. Please contact for more details.,https://www.magicbricks.com/propertyDetails/1-BHK-6501-Sq-ft-Residential-House-FOR-Sale-Erragadda-in-Hyderabad&id=4d423832393837303939
43,1 BHK Apartment for Sale in Madhura Nagar Colony Hyderabad,,,Hyderabad,IN,₹29.1 Lac,,,,1.0,Apartment,Mukul Agarwal,"1 BHK, Multistorey Apartment is available for Sale in , Hyderabad for 29.10 Lac(s)",https://www.magicbricks.com/propertyDetails/1-BHK-620-Sq-ft-Multistorey-Apartment-FOR-Sale-in-Hyderabad&id=4d423637373939353233
44,1 BHK House for Sale in Chanda Nagar Hyderabad,,,Hyderabad,IN,₹1.70 Cr,"₹17,172 per sqft",17.495741,78.325436,1.0,SingleFamilyResidence,Sambasiva ,"I want to sale my own property which is having 110 Square Yards individual house. Property DetailsNorthEast Facing , Ground floor had 2 1BHKs, 1st floor had 2bhk with wood work ,1 penthouse1bhk with open space on terrace. You will get around 50k rent on this property. Property located near Gandhi Statue, Chandanagar, Hyderabad, Mumbai National Highway 65",https://www.magicbricks.com/propertyDetails/1-BHK-110-Sq-yrd-Residential-House-FOR-Sale-Chanda-Nagar-in-Hyderabad&id=4d423634343935303539
45,1 BHK House for Sale in Saraswathi Nagar Colony Hyderabad,,,Hyderabad,IN,₹46.1 Lac,"₹3,293 per sqft",,,1.0,SingleFamilyResidence,Naresh Malhotra,"1 BHK, Residential House is available for Sale in , Hyderabad for 46.10 Lac(s)",https://www.magicbricks.com/propertyDetails/1-BHK-1400-Sq-ft-Residential-House-FOR-Sale-in-Hyderabad&id=4d423637373939353733
46,1 BHK Villa for Sale in Nizampet Hyderabad,Hi Rise Homes Phase 2,Nizampet,Hyderabad,IN,₹1.90 Cr,"₹8,652 per sqft",17.5140515,78.3819374,1.0,SingleFamilyResidence,Prabhat shalini,"Villa is made upto 1 floors. The place is very airy & spacious making the stay a very memorable one. It can easily be cutomized as per the needs of the people living here. All in all a great deal, please contact immediately for more details. This spacious Villa was constructed approx. 5 to 10 years years back. The location has easy access to, Government School (1 km ), Deccan Gramin Bank (3 km ), Ayush Hospital (8 km ) and Secunderabad Railway Station (19 km ).",https://www.magicbricks.com/propertyDetails/1-BHK-2200-Sq-ft-Villa-FOR-Sale-Nizampet-in-Hyderabad&id=4d423233333330373031
